direction,impl,overlap,fragmentation,composite
forward,python,0.5936423088972431,0.5946320243300771,0.500494857716417
backward,python,0.7078108979835953,0.4247214214636516,0.3584552617400282
symmetric,python,0.6507266034404192,0.5096767228968644,0.4294750597282226
forward,cuda_cpp,0.593642,0.594632,0.500495
backward,cuda_cpp,0.707811,0.424721,0.358455
symmetric,cuda_cpp,0.650727,0.509677,0.429475
